nodes_number,delay,memory_capacity,send_rate,count_mean,count_std
5,0.05,10,10,5.0,3.4641016151377544
5,0.05,10,20,1.6,1.0749676997731399
5,0.05,20,10,8.6,3.864367132317183
5,0.05,20,20,6.4,2.1705094128132942
10,0.05,10,10,0.2,0.4216370213557839
10,0.05,10,20,0.5,0.8498365855987975
10,0.05,20,10,1.5,0.97182531580755
10,0.05,20,20,1.2,1.1352924243950933
15,0.05,10,10,0.0,0.0
15,0.05,10,20,0.0,0.0
15,0.05,20,10,0.1,0.31622776601683794
15,0.05,20,20,0.1,0.31622776601683794
20,0.05,10,10,0.0,0.0
20,0.05,10,20,0.0,0.0
20,0.05,20,10,0.1,0.31622776601683794
20,0.05,20,20,0.2,0.4216370213557839
